timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1654177089429,2,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-1,text,true,,5762,727,4,4,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1654177089783,2,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-2,text,true,,5762,727,5,5,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,1
1654177090204,2,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-3,text,true,,5762,727,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177090558,2,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-4,text,true,,5762,727,7,7,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1654177090963,1,/jpetstore/actions/Account.action-98,200,OK,Thread Group 1-1,text,true,,3925,854,8,8,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1654177091023,1,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-5,text,true,,5762,727,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177091365,1,/jpetstore/actions/Account.action-98,200,OK,Thread Group 1-2,text,true,,3925,854,9,9,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1654177091387,1,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-6,text,true,,5762,727,9,9,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177091753,2,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-7,text,true,,5762,727,10,10,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1654177091774,1,/jpetstore/actions/Account.action-98,200,OK,Thread Group 1-3,text,true,,3921,854,10,10,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1654177092139,2,/jpetstore/actions/Account.action-98,200,OK,Thread Group 1-4,text,true,,3923,854,11,11,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,2,0,0
1654177092237,2,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-8,text,true,,5762,727,12,12,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1654177092558,2,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-9,text,true,,5762,727,12,12,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1654177092562,1,/jpetstore/actions/Account.action-99,200,OK,Thread Group 1-1,text,true,,5262,2175,12,12,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177092562,1,/jpetstore/actions/Account.action-99-0,302,Found,Thread Group 1-1,,true,,193,1215,12,12,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
1654177092563,0,/jpetstore/actions/Account.action-99-1,200,OK,Thread Group 1-1,text,true,,5069,960,12,12,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1654177092590,1,/jpetstore/actions/Account.action-98,200,OK,Thread Group 1-5,text,true,,3923,854,12,12,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1654177092935,3,/jpetstore/actions/Account.action-99,200,OK,Thread Group 1-2,text,true,,5262,2175,13,13,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1654177092935,2,/jpetstore/actions/Account.action-99-0,302,Found,Thread Group 1-2,,true,,193,1215,13,13,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1654177092937,1,/jpetstore/actions/Account.action-99-1,200,OK,Thread Group 1-2,text,true,,5069,960,13,13,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177092987,1,/jpetstore/actions/Account.action-98,200,OK,Thread Group 1-6,text,true,,3923,854,13,13,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1654177092986,2,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-10,text,true,,5762,727,13,13,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,1
1654177093271,1,/jpetstore/actions/Account.action-98,200,OK,Thread Group 1-7,text,true,,3925,854,14,14,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1654177093341,2,/jpetstore/actions/Account.action-99,200,OK,Thread Group 1-3,text,true,,5262,2175,14,14,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177093341,1,/jpetstore/actions/Account.action-99-0,302,Found,Thread Group 1-3,,true,,193,1215,14,14,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
1654177093342,1,/jpetstore/actions/Account.action-99-1,200,OK,Thread Group 1-3,text,true,,5069,960,14,14,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177093381,1,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-11,text,true,,5762,727,14,14,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177093690,2,/jpetstore/actions/Account.action-99,200,OK,Thread Group 1-4,text,true,,5262,2175,15,15,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177093690,1,/jpetstore/actions/Account.action-99-0,302,Found,Thread Group 1-4,,true,,193,1215,15,15,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
1654177093691,1,/jpetstore/actions/Account.action-99-1,200,OK,Thread Group 1-4,text,true,,5069,960,15,15,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177093745,1,/jpetstore/actions/Account.action-98,200,OK,Thread Group 1-8,text,true,,3925,854,15,15,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,0,0,0
1654177093806,2,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-12,text,true,,5762,727,15,15,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,1
1654177094065,2,/jpetstore/actions/Account.action-101,200,OK,Thread Group 1-1,text,true,,5255,1693,16,16,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177094065,1,/jpetstore/actions/Account.action-101-0,302,Found,Thread Group 1-1,,true,,333,851,16,16,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1654177094066,1,/jpetstore/actions/Account.action-101-1,200,OK,Thread Group 1-1,text,true,,4922,842,16,16,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177094100,2,/jpetstore/actions/Account.action-99,200,OK,Thread Group 1-5,text,true,,5262,2175,16,16,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177094100,1,/jpetstore/actions/Account.action-99-0,302,Found,Thread Group 1-5,,true,,193,1215,16,16,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
1654177094101,1,/jpetstore/actions/Account.action-99-1,200,OK,Thread Group 1-5,text,true,,5069,960,16,16,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177094127,1,/jpetstore/actions/Account.action-98,200,OK,Thread Group 1-9,text,true,,3921,854,16,16,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1654177094154,1,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-13,text,true,,5762,727,16,16,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177094526,2,/jpetstore/actions/Account.action-101,200,OK,Thread Group 1-2,text,true,,5255,1693,17,17,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177094526,1,/jpetstore/actions/Account.action-101-0,302,Found,Thread Group 1-2,,true,,333,851,17,17,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1654177094527,1,/jpetstore/actions/Account.action-101-1,200,OK,Thread Group 1-2,text,true,,4922,842,17,17,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177094547,1,/jpetstore/actions/Account.action-99,200,OK,Thread Group 1-6,text,true,,5262,2175,17,17,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1654177094547,0,/jpetstore/actions/Account.action-99-0,302,Found,Thread Group 1-6,,true,,193,1215,17,17,http://localhost:8080/jpetstore/actions/Account.action,0,0,0
1654177094547,1,/jpetstore/actions/Account.action-99-1,200,OK,Thread Group 1-6,text,true,,5069,960,17,17,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177094553,1,/jpetstore/actions/Account.action-98,200,OK,Thread Group 1-10,text,true,,3925,854,17,17,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1654177094570,1,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-14,text,true,,5762,727,17,17,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177094785,3,/jpetstore/actions/Account.action-99,200,OK,Thread Group 1-7,text,true,,5262,2175,18,18,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1654177094785,2,/jpetstore/actions/Account.action-99-0,302,Found,Thread Group 1-7,,true,,193,1215,18,18,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1654177094787,1,/jpetstore/actions/Account.action-99-1,200,OK,Thread Group 1-7,text,true,,5069,960,18,18,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177094884,2,/jpetstore/actions/Account.action-101,200,OK,Thread Group 1-3,text,true,,5255,1693,18,18,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177094884,1,/jpetstore/actions/Account.action-101-0,302,Found,Thread Group 1-3,,true,,333,851,18,18,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1654177094885,1,/jpetstore/actions/Account.action-101-1,200,OK,Thread Group 1-3,text,true,,4922,842,18,18,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177094925,1,/jpetstore/actions/Account.action-98,200,OK,Thread Group 1-11,text,true,,3923,854,18,18,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1654177095014,2,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-15,text,true,,5762,727,18,18,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1654177095276,1,/jpetstore/actions/Account.action-101,200,OK,Thread Group 1-4,text,true,,5255,1693,19,19,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177095276,1,/jpetstore/actions/Account.action-101-0,302,Found,Thread Group 1-4,,true,,333,851,19,19,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1654177095277,0,/jpetstore/actions/Account.action-101-1,200,OK,Thread Group 1-4,text,true,,4922,842,19,19,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1654177095297,1,/jpetstore/actions/Account.action-99,200,OK,Thread Group 1-8,text,true,,5262,2175,19,19,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1654177095297,0,/jpetstore/actions/Account.action-99-0,302,Found,Thread Group 1-8,,true,,193,1215,19,19,http://localhost:8080/jpetstore/actions/Account.action,0,0,0
1654177095297,1,/jpetstore/actions/Account.action-99-1,200,OK,Thread Group 1-8,text,true,,5069,960,19,19,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177095349,1,/jpetstore/actions/Account.action-98,200,OK,Thread Group 1-12,text,true,,3923,854,19,19,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1654177095419,2,/jpetstore/actions/Catalog.action-97,200,OK,Thread Group 1-16,text,true,,5762,727,19,19,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,1
1654177095583,0,Home,200,OK,Thread Group 1-1,text,true,,1516,391,20,20,http://localhost:8080/jpetstore/,0,0,0
1654177095583,0,Home-0,302,Found,Thread Group 1-1,,true,,146,195,20,20,http://localhost:8080/jpetstore,0,0,0
1654177095583,0,Home-1,200,OK,Thread Group 1-1,text,true,,1370,196,20,20,http://localhost:8080/jpetstore/,0,0,0
1654177095671,2,/jpetstore/actions/Account.action-101,200,OK,Thread Group 1-5,text,true,,5255,1693,20,20,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177095671,1,/jpetstore/actions/Account.action-101-0,302,Found,Thread Group 1-5,,true,,333,851,20,20,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1654177095672,1,/jpetstore/actions/Account.action-101-1,200,OK,Thread Group 1-5,text,true,,4922,842,20,20,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177095687,1,/jpetstore/actions/Account.action-99,200,OK,Thread Group 1-9,text,true,,5262,2175,20,20,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1654177095687,1,/jpetstore/actions/Account.action-99-0,302,Found,Thread Group 1-9,,true,,193,1215,20,20,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
1654177095688,0,/jpetstore/actions/Account.action-99-1,200,OK,Thread Group 1-9,text,true,,5069,960,20,20,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1654177095703,1,/jpetstore/actions/Account.action-98,200,OK,Thread Group 1-13,text,true,,3921,854,20,20,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
