GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
matriculacion-bo/matriculacion-dao,ppss.matriculacion.dao,FactoriaDAO,8,7,0,0,2,2,2,2,2,2
matriculacion-bo/matriculacion-dao,ppss.matriculacion.dao,FuenteDatosJDBC,4,23,0,2,2,9,0,5,0,4
matriculacion-bo/matriculacion-dao,ppss.matriculacion.dao,JDBCAlumnoDAO,160,104,20,8,51,36,15,5,3,3
matriculacion-bo/matriculacion-dao,ppss.matriculacion.dao,DAOException,7,9,0,0,4,4,2,2,2,2
matriculacion-bo/matriculacion-dao,ppss.matriculacion.dao,JDBCMatriculaDAO,11,0,0,0,6,0,6,0,6,0
matriculacion-bo/matriculacion-dao,ppss.matriculacion.dao,JDBCAsignaturaDAO,11,0,0,0,6,0,6,0,6,0
matriculacion-bo/matriculacion-comun,ppss.matriculacion.to,DatosEconomicosAlumnoTO,24,0,0,0,10,0,7,0,7,0
matriculacion-bo/matriculacion-comun,ppss.matriculacion.to,AlumnoTO,41,30,4,0,13,12,9,9,7,9
matriculacion-bo/matriculacion-comun,ppss.matriculacion.to,DatosEconomicosAlumnoTO.TiposBeca,34,0,0,0,2,0,1,0,1,0
matriculacion-bo/matriculacion-comun,ppss.matriculacion.to,MatriculaTO,24,0,0,0,10,0,7,0,7,0
matriculacion-bo/matriculacion-comun,ppss.matriculacion.to,AsignaturaTO,45,0,4,0,15,0,11,0,9,0
matriculacion-bo/matriculacion-comun,ppss.matriculacion.to,ReciboMatriculaTO.LineaReciboMatriculaTO,26,0,0,0,12,0,6,0,6,0
matriculacion-bo/matriculacion-comun,ppss.matriculacion.to,ReciboMatriculaTO,42,0,0,0,15,0,9,0,9,0
matriculacion-bo/matriculacion-proxy,ppss.matriculacion.proxy,ProxyDatosEconomicos,65,0,4,0,22,0,4,0,2,0
matriculacion-bo/matriculacion-proxy,ppss.matriculacion.proxy,ProxyException,16,0,0,0,8,0,4,0,4,0
